request_id,incident_id,action_suggestion,action_type,ticket_id,ticket_system,status,created_at,decided_at
req_768c443b7f18,inc_0544b1be1156,Run runbook: error_spike (Match: error_spike),run_runbook,1769c295c39772107ee3fc0ed4013114,servicenow,pending,2026-02-25T13:38:05Z,
req_3b4dd0201df9,inc_607ec66d98be,Run runbook: service_down (Match: service_down),run_runbook,a8e942d5c39772107ee3fc0ed4013140,servicenow,pending,2026-02-25T13:40:05Z,
req_4f1b1e743adc,inc_c9b82858489d,Run runbook: service_down (Match: service_down),run_runbook,b5ec4e1dc39772107ee3fc0ed4013178,servicenow,pending,2026-02-25T13:53:17Z,
req_6754c79348d3,inc_ef08592aea37,Run runbook: service_down (Match: service_down),run_runbook,db2e4e1dc39772107ee3fc0ed40131fb,servicenow,pending,2026-02-25T13:58:50Z,
req_0bf61c42987f,inc_ff78915da078,Run runbook: error_spike (Match: error_spike),run_runbook,5f209e91c3d772107ee3fc0ed40131a9,servicenow,pending,2026-02-25T14:07:35Z,
req_89b519d353fd,inc_4da172d26c26,Run runbook: error_spike (Match: error_spike),run_runbook,d1a99655c31b72107ee3fc0ed4013138,servicenow,pending,2026-02-25T14:48:57Z,
req_a3fa96373369,inc_ab644e39f2d1,Run runbook: error_spike (Match: error_spike),run_runbook,c8b91a55c31b72107ee3fc0ed4013175,servicenow,pending,2026-02-25T14:49:08Z,
req_2dd6865c6c00,inc_b7803aaf3de3,Run runbook: error_spike (Match: error_spike),run_runbook,3ab95a55c31b72107ee3fc0ed4013105,servicenow,pending,2026-02-25T14:49:21Z,
req_6ccc7ae5d313,inc_0d0a43fb78b3,Run runbook: service_down (Match: service_down),run_runbook,c94b9a19c31b72107ee3fc0ed4013146,servicenow,pending,2026-02-25T14:56:02Z,
req_c8899fa14ccd,inc_b8824ad712f9,Run runbook: error_spike (Match: error_spike),run_runbook,91a9f251c31f72107ee3fc0ed4013134,servicenow,pending,2026-02-25T17:08:46Z,
req_41b1f43c8769,inc_b593e254db48,Run runbook: high_cpu (Match: high_cpu),run_runbook,180c3695c31f72107ee3fc0ed4013140,servicenow,pending,2026-02-25T17:19:05Z,
req_aa3b7b01d44e,inc_1eed7b0185d3,Run runbook: high_cpu (Match: high_cpu),run_runbook,da714661c317f2107ee3fc0ed4013133,servicenow,pending,2026-02-26T07:41:50Z,
req_d9e2d4a592e3,inc_735a6087e9b3,Run runbook: high_cpu (Match: high_cpu),run_runbook,6908266dc31bf2107ee3fc0ed40131bf,servicenow,pending,2026-02-26T10:30:17Z,
req_2f0c5effa90d,inc_e4073222b737,Run runbook: high_cpu (Match: high_cpu),run_runbook,4618e66dc31bf2107ee3fc0ed4013108,servicenow,pending,2026-02-26T10:30:33Z,
req_ce5f3a7f1f8f,inc_cf090a1c3f0c,Run runbook: high_cpu (Match: high_cpu),run_runbook,1d282a6dc31bf2107ee3fc0ed401314c,servicenow,pending,2026-02-26T10:30:47Z,
req_b453a2edd455,inc_99f643ca5002,Run runbook: high_cpu (Match: high_cpu),run_runbook,09386a6dc31bf2107ee3fc0ed40131cf,servicenow,pending,2026-02-26T10:31:02Z,
req_edb6a785de7d,inc_a6dd447b2556,Run runbook: high_cpu (Match: high_cpu),run_runbook,d848ea6dc31bf2107ee3fc0ed4013184,servicenow,pending,2026-02-26T10:31:15Z,
